Designator,Mid X,Mid Y,Layer,Rotation
AE1,4.8,48.7,Top,90
C1,5.4,26.15,Top,-135
C3,4.7,26.85,Top,-135
C4,12.5,8.5,Top,-90
C5,13,23.75,Top,45
C6,4.1,18.25,Top,-135
C7,8.6,27.55,Top,135
C8,4.9,42.45,Top,180
C9,4.9,45.55,Top,180
C10,4,34.25,Top,0
C11,10.25,29.25,Top,-135
C12,14.5,25.5,Top,-135
C13,11.75,31.25,Top,-90
C14,8.98,40.25,Top,180
C15,13.5,8.5,Top,-90
C17,10.98,8,Top,0
D1,5.35,9.25,Top,-90
D2,15.1,37.75,Top,-90
D4,9.5,33.75,Top,180
D5,12.9,15.25,Top,0
D6,12.9,14.25,Top,0
J1,9,2.645,Top,0
J2,11,45.85,Top,180
L2,5.35,44,Top,90
Q1,9.25,37.75,Top,90
R1,4,35.25,Top,180
R2,8.75,35.25,Top,0
R3,15.1,35.75,Top,-90
R4,13.25,31.75,Top,0
R5,7.25,8,Top,180
R6,15.1,39.75,Top,-90
R7,3.8,8.6,Top,90
R8,11.75,16.25,Top,180
R9,8.6,14.25,Top,180
R11,13.5,10.45,Top,90
R12,13.5,12.45,Top,-90
R13,12.2,11.55,Top,-90
R14,10.4,15.25,Top,0
R15,10.9,14.25,Top,0
SW1,4.4,38.75,Top,-90
SW2,4.4,30.85,Top,-90
U1,8.25,21.25,Top,-45
U3,12.8,38.6125,Top,-90
U4,12.8,34.3625,Top,90
U5,9,11.0875,Top,90
Y1,12.75,27.75,Top,135
